,trips
2020-03_airflow_with_spark-01,784246
2020-03_airflow_with_spark-02_spark,648986
2020-03_airflow_with_spark-03_airflow_with_spark,697880
2020-03_airflow_with_spark-04,707879
2020-03_airflow_with_spark-05,731165
2020-03_airflow_with_spark-06,872012
2020-03_airflow_with_spark-07,886071
2020-03_airflow_with_spark-08,731222
2020-03_airflow_with_spark-09,628940
2020-03_airflow_with_spark-10,626474
2020-03_airflow_with_spark-11,628601
2020-03_airflow_with_spark-12,643257
2020-03_airflow_with_spark-13,660914
2020-03_airflow_with_spark-14,569397
2020-03_airflow_with_spark-15,448125
2020-03_airflow_with_spark-16,391518
2020-03_airflow_with_spark-17,312298
2020-03_airflow_with_spark-18,269232
2020-03_airflow_with_spark-19,252773
2020-03_airflow_with_spark-20,261900
2020-03_airflow_with_spark-21,215745
2020-03_airflow_with_spark-22,162165
2020-03_airflow_with_spark-23,162392
2020-03_airflow_with_spark-24,141686
2020-03_airflow_with_spark-25,141088
2020-03_airflow_with_spark-26,141607
2020-03_airflow_with_spark-27,159339
2020-03_airflow_with_spark-28,138456
2020-03_airflow_with_spark-29,115393
2020-03_airflow_with_spark-30,132593
2020-03_airflow_with_spark-31,129550
